prompt_id,tier,provider,model_id,input_tokens,output_tokens,latency_s,cost_usd,output_preview
t1-extract-email,1,openai,gpt-4o,48,8,2.948,0.000200,mike.chen.realty@example.com
t1-list-to-json,1,openai,gpt-4o,30,21,1.374,0.000285,"```json [""eggs"", ""oat milk"", ""spinach"", ""cold brew""] ```"
t1-capital-qa,1,openai,gpt-4o,28,1,1.810,0.000080,Tokyo
t1-date-reformat,1,openai,gpt-4o,34,6,0.815,0.000145,2026-03-05
t2-summarize,2,openai,gpt-4o,72,27,0.984,0.000450,"Remote work has increased significantly since 2020, with many companies adopting"
t2-sentiment,2,openai,gpt-4o,47,1,0.482,0.000128,Negative
t2-tradeoffs,2,openai,gpt-4o,38,200,2.334,0.002095,**Advantages of SQLite:**  - **Lightweight and Easy to Use:** SQLite is a self-c
t3-word-problem,3,openai,gpt-4o,55,213,1.728,0.002268,"To determine how long it will take for you and your friend to meet, you can star"
t3-constrained-poem,3,openai,gpt-4o,41,44,1.035,0.000543,"In solitude he stood, guiding through the night,   A beacon of hope, cast in ste"
t3-plan-justify,3,openai,gpt-4o,54,512,5.166,0.005255,Creating an effective plan to reduce your monthly LLM (Large Language Model) API
t1-extract-email,1,openai,gpt-4o-mini,48,8,1.037,0.000012,mike.chen.realty@example.com
t1-list-to-json,1,openai,gpt-4o-mini,30,21,0.841,0.000017,"```json [""eggs"", ""oat milk"", ""spinach"", ""cold brew""] ```"
t1-capital-qa,1,openai,gpt-4o-mini,28,1,1.078,0.000005,Tokyo
t1-date-reformat,1,openai,gpt-4o-mini,34,6,0.883,0.000009,2026-03-05
t2-summarize,2,openai,gpt-4o-mini,72,34,0.884,0.000031,"Remote work increased significantly post-2020, leading many companies to adopt h"
t2-sentiment,2,openai,gpt-4o-mini,47,1,0.487,0.000008,Negative
t2-tradeoffs,2,openai,gpt-4o-mini,38,172,2.680,0.000109,### Advantages of Using SQLite: - **Lightweight and Easy to Set Up:** SQLite is 
t3-word-problem,3,openai,gpt-4o-mini,55,300,2.449,0.000188,"To determine how long it will take for you and your friend to meet, we can follo"
t3-constrained-poem,3,openai,gpt-4o-mini,41,38,2.041,0.000029,"In steadfast silence, your light would shine,   A beacon of warmth through darke"
